"","Release_number","interview_id","State","Family_comp_change","family_identifier","Year","head_age","head_sex","wife_age","num_child","age_youngest_child","head_marital_status","life_satisfaction","hd_employ_status","hd_occ","hd_ind","hd_hrs_work_per_week","hd_wtr_unemployed","wtr_wf","wf_occ","wf_ind","wf_wtr_unemployed","hd_housework_hrs","wf_housework_hrs","hd_wage","wf_wage","hd_health","hd_weight","hd_height","wf_health","wf_weight","wf_height","wf_race","wf_wtr_hs","wf_wtr_college","wf_highest_yr_complete","wf_religion","hd_race","hd_wtr_hs","hd_wtr_college","hd_highest_yr_complete","hd_religion","hd_change_in_marital_status","hd_edu","wf_edu","hd_adj_income"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",5,13,41,0,4,2009,57,1,55,0,0,1,4,4,0,0,0,5,1,0,0,5,40,2,0,0,3,185,6,5,200,6,1,2,5,0,8,1,3,5,0,0,10,11,1,0
"4",5,1827,41,0,4,2009,55,2,0,0,0,4,2,1,31,868,0,5,3,0,0,0,0,5,30000,0,3,125,3,0,0,0,0,0,0,0,0,1,1,1,2,8,14,0,2,15706.7271323306
"5",5,1840,41,1,4,2009,51,2,0,0,0,4,3,4,0,0,0,5,3,0,0,0,0,10,0,0,4,158,2,0,0,0,0,0,0,0,0,1,2,5,0,8,11,0,2,0
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",5,8582,41,8,4,2009,44,1,0,0,0,4,3,1,952,77,0,5,2,0,0,0,0,0,32000,0,3,185,10,0,0,0,0,0,0,0,0,1,3,5,0,8,11,0,8,16753.8422744859
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",5,5839,41,0,4,2009,34,1,0,0,0,5,3,3,960,77,0,5,2,0,0,0,0,4,32000,0,3,170,7,0,0,0,0,0,0,0,0,1,1,5,0,8,12,0,2,16753.8422744859
"10",5,2003,15,8,4,2009,33,1,0,0,0,2,2,1,624,77,0,5,2,0,0,0,0,7,11000,0,1,175,3,0,0,0,0,0,0,0,0,1,2,5,0,8,11,0,8,5759.13328185454
"11",5,8333,41,8,4,2009,32,1,32,0,0,2,2,1,562,868,0,5,1,181,739,5,7,7,9999999,9999999,2,200,1,1,120,7,1,1,1,5,8,1,1,1,2,8,14,17,8,5235575.18721928
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",5,8180,41,8,4,2009,22,2,0,0,0,2,3,1,360,827,0,5,3,0,0,0,0,6,30000,0,2,160,8,0,0,0,0,0,0,0,0,1,1,1,0,8,12,0,8,15706.7271323306
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",5,77,41,1,4,2009,24,2,0,2,1,4,2,6,472,497,0,1,3,0,0,0,0,20,14850,0,2,135,7,0,0,0,0,0,0,0,0,1,3,5,0,0,10,0,2,7774.82993050362
