"","ID","Release_number","interview_id","State","Family_comp_change","Year","head_age","head_sex","wife_age","num_child","age_youngest_child","family_identifier","head_marital_status","hd_employ_status","hd_occ","hd_ind","hd_hrs_work_per_week","hd_wtr_unemployed","wtr_wf","wf_occ","wf_ind","wf_wtr_unemployed","hd_housework_hrs","wf_housework_hrs","hd_wage","wf_wage","hd_health","hd_weight","hd_height","wf_health","wf_weight","wf_height","wf_race","wf_wtr_hs","wf_wtr_college","wf_highest_yr_complete","wf_religion","hd_race","hd_wtr_hs","hd_wtr_college","hd_highest_yr_complete","hd_religion","hd_change_in_marital_status","hd_edu","wf_edu"
"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,6,96,41,1,2001,49,1,47,1,10,4,1,1,310,628,0,5,1,142,857,5,30,10,23000,3000,1,180,5,2,220,6,1,3,5,0,8,1,3,5,0,0,1,9,10
"4",4,6,5987,41,0,2001,47,2,0,0,0,4,4,1,230,669,0,5,3,0,0,0,0,4,0,0,3,117,3,0,0,0,0,0,0,0,0,1,1,5,0,8,2,12,0
"5",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,6,7091,41,0,2001,41,2,0,1,14,4,4,1,361,907,0,5,3,0,0,0,0,25,50000,0,2,160,8,0,0,0,0,0,0,0,0,1,1,5,0,8,2,12,0
"7",7,6,5964,41,1,2001,36,1,35,3,1,4,1,1,436,68,0,5,1,0,0,0,35,0,9999998,0,1,165,8,1,146,7,1,3,5,0,0,1,3,5,0,0,1,11,9
"8",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,6,5479,41,5,2001,26,1,20,0,0,4,1,1,436,68,40,1,1,0,0,0,40,10,27000,0,3,185,7,3,135,3,1,3,5,0,8,1,1,5,0,8,8,12,11
"10",10,6,5665,15,1,2001,25,1,0,0,0,4,2,1,420,69,0,5,2,0,0,0,0,1,23000,0,2,140,6,0,0,0,0,0,0,0,0,1,3,5,0,8,2,10,0
"11",11,6,6754,41,0,2001,24,1,0,0,0,4,2,1,230,669,0,1,2,0,0,0,0,2,20000,0,2,214,0,0,0,0,0,0,0,0,0,1,1,1,1,8,2,13,0
"12",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,6,6522,41,0,2001,41,1,0,0,0,4,4,1,270,418,0,5,2,0,0,0,0,2,38000,0,2,200,0,0,0,0,0,0,0,0,0,1,1,5,0,8,2,12,0
"18",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,6,6872,41,1,2001,57,1,45,1,13,4,1,4,785,769,0,5,1,0,0,0,20,0,6000,0,3,170,6,3,154,3,1,2,1,0,8,1,1,1,2,8,1,14,10
"22",22,6,5599,15,0,2001,43,1,43,0,0,4,4,1,6,227,0,5,1,916,857,5,25,10,72000,14000,2,185,6,3,200,3,1,1,5,0,8,1,1,1,4,8,1,16,12
"23",23,6,5480,41,8,2001,26,1,0,0,0,4,4,1,245,69,45,5,2,0,0,0,0,3,23000,0,2,230,0,0,0,0,0,0,0,0,0,1,1,5,0,8,8,12,0
"24",24,6,7308,41,4,2001,31,1,22,1,5,4,1,1,436,67,0,5,1,915,669,5,10,0,0,26000,1,198,9,1,125,4,1,1,5,0,8,1,1,5,0,8,5,12,12
"25",25,6,285,41,4,2001,28,1,27,2,4,4,1,1,751,68,0,5,1,0,0,0,20,3,30000,400,1,180,9,3,130,3,1,1,5,0,8,1,3,5,0,8,5,11,12
"26",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",34,6,444,41,1,2001,55,2,0,1,6,5,3,5,0,0,0,0,3,0,0,0,0,1,0,0,5,160,8,0,0,0,0,0,0,0,0,1,3,5,0,8,2,8,0
"35",35,6,1448,41,0,2001,38,1,36,2,16,5,1,1,245,609,0,5,1,982,769,5,10,6,39000,24000,2,170,0,2,150,11,1,1,5,0,8,1,1,5,0,8,1,12,12
"36",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",42,6,443,41,4,2001,24,1,35,0,0,5,1,1,245,609,35,1,1,314,777,5,10,4,12000,7200,2,195,8,4,320,9,1,1,5,0,8,1,1,1,2,8,5,14,12
"43",43,6,279,41,1,2001,29,1,37,2,13,5,4,1,753,118,0,5,1,314,777,5,0,4,9999998,8000,1,170,11,5,260,11,1,1,5,0,8,1,1,5,0,1,6,12,12
"44",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",49,6,129,12,0,2001,78,1,79,0,0,6,1,4,0,0,0,0,1,0,0,0,30,0,0,0,4,200,10,4,176,2,1,1,5,0,8,1,3,5,0,8,1,8,12
"50",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",51,6,6438,26,1,2001,46,1,46,1,17,6,1,1,72,18,0,5,1,372,18,5,18,0,70000,3000,1,210,3,1,155,4,1,1,1,4,8,1,1,1,5,8,1,17,16
"52",52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",57,6,263,12,1,2001,56,1,52,0,0,6,1,1,420,667,0,5,1,935,788,5,2,2,0,17000,1,200,10,2,170,7,1,1,5,0,8,1,3,5,0,0,1,11,12
"58",58,6,1932,12,0,2001,27,1,28,0,0,6,1,1,1,839,16,5,1,75,828,5,3,1,30000,45000,1,160,1,1,130,6,1,9,1,4,0,1,9,1,3,0,1,15,16
"59",59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",60,6,3074,34,0,2001,75,2,0,0,0,7,3,6,0,0,0,0,3,0,0,0,0,0,0,0,4,205,5,0,0,0,0,0,0,0,0,1,3,5,0,8,2,7,0
"61",61,6,3133,34,1,2001,47,1,47,0,0,7,1,5,0,0,0,0,1,85,828,5,30,20,0,25000,5,268,5,3,150,3,1,1,5,0,8,1,1,5,0,8,1,12,12
"62",62,6,3198,34,0,2001,45,2,0,0,0,7,4,1,942,778,0,5,3,0,0,0,0,20,5538,0,3,170,1,0,0,0,0,0,0,0,0,1,3,5,0,8,2,9,0
"63",63,6,4672,34,2,2001,43,1,0,0,0,7,5,5,0,0,0,0,2,0,0,0,0,7,0,0,4,198,11,0,0,0,0,0,0,0,0,1,3,5,0,8,6,11,0
"64",64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",65,6,6030,34,5,2001,27,1,28,2,2,7,1,1,715,679,40,1,1,762,609,5,8,0,9999998,0,2,230,9,2,210,1,1,1,5,0,0,1,3,5,0,0,8,11,12
"66",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",67,6,3075,34,0,2001,26,2,0,3,4,7,4,3,0,0,0,0,3,0,0,0,0,6,0,0,3,180,6,0,0,0,0,0,0,0,0,1,3,5,0,0,2,11,0
"68",68,6,3327,34,0,2001,24,1,22,0,0,7,1,1,623,647,0,5,1,0,0,0,40,50,19000,566,4,154,7,5,202,5,1,3,5,0,0,1,3,5,0,0,1,10,9
"69",69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",77,6,2945,34,3,2001,45,2,0,4,9,7,5,1,942,778,0,5,3,0,0,0,0,30,0,0,3,200,5,0,0,0,0,0,0,0,0,1,3,5,0,8,3,11,0
"78",78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",79,6,4671,34,0,2001,31,1,27,0,0,7,1,3,0,0,0,0,1,630,839,5,1,1,9999998,0,4,100,4,3,175,3,1,3,5,0,8,1,3,5,0,8,1,8,11
"80",80,6,3325,34,0,2001,29,1,29,3,8,7,1,1,534,69,0,5,1,0,0,0,14,0,9999998,0,2,155,0,3,140,3,1,3,5,0,8,1,3,5,0,0,1,11,11
"81",81,6,7255,34,6,2001,26,1,20,1,1,7,1,1,912,669,0,5,1,942,778,5,14,7,20000,5000,3,336,9,2,250,5,1,1,5,0,8,1,2,1,2,8,8,9,12
"82",82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",89,6,256,32,0,2001,57,2,0,0,0,10,4,5,0,0,0,0,3,0,0,0,0,2,0,0,4,195,5,0,0,0,0,0,0,0,0,2,1,1,2,8,2,14,0
"90",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",91,6,257,32,0,2001,37,2,0,3,8,10,5,3,0,0,0,0,3,0,0,0,0,12,11200,0,2,998,5,0,0,0,0,0,0,0,0,2,1,1,2,8,2,14,0
"92",92,6,1922,32,0,2001,35,1,0,0,0,10,2,1,382,857,32,5,2,0,0,0,0,2,26000,0,2,150,8,0,0,0,0,0,0,0,0,2,1,1,2,8,2,14,0
"93",93,6,42,19,8,2001,54,1,0,0,0,10,4,1,715,417,0,5,2,0,0,0,0,4,19000,0,3,220,7,0,0,0,0,0,0,0,0,2,9,1,2,8,8,14,0
"94",94,6,732,32,0,2001,30,2,0,0,0,10,2,1,64,609,0,5,3,0,0,0,0,1,73000,0,3,138,4,0,0,0,0,0,0,0,0,2,1,1,5,8,2,17,0
"95",95,6,7028,19,8,2001,25,1,0,0,0,10,2,3,753,418,40,5,2,0,0,0,0,9,3500,0,3,167,6,0,0,0,0,0,0,0,0,2,3,5,0,8,8,11,0
"96",96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",97,6,3227,32,0,2001,39,1,0,0,0,10,5,3,0,0,0,0,2,0,0,0,0,4,21000,0,1,225,1,0,0,0,0,0,0,0,0,2,1,1,3,8,2,15,0
"98",98,6,5332,32,0,2001,37,2,0,1,11,10,4,1,944,787,0,5,3,0,0,0,0,8,9999999,0,2,180,9,0,0,0,0,0,0,0,0,2,1,5,0,8,2,12,0
"99",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",103,6,302,4,0,2001,82,2,0,0,0,11,3,4,0,0,0,0,3,0,0,0,0,3,0,0,3,140,5,0,0,0,0,0,0,0,0,1,1,5,0,8,2,12,0
"104",104,6,492,4,0,2001,48,1,0,0,0,11,4,1,52,467,0,5,2,0,0,0,0,15,9999999,0,2,165,11,0,0,0,0,0,0,0,0,9,1,1,0,0,2,12,0
"105",105,6,311,50,0,2001,72,1,70,0,0,13,1,4,0,0,0,0,1,0,0,0,10,8,0,0,3,180,9,4,128,2,1,1,5,0,8,1,3,5,0,1,1,10,12
"106",106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",109,6,2002,50,0,2001,53,1,49,0,0,13,1,1,430,377,42,5,1,0,0,0,40,20,106739,0,2,191,0,2,124,0,1,1,5,0,1,1,1,1,0,8,1,12,12
"110",110,6,1589,50,0,2001,47,1,50,0,0,13,1,1,715,377,0,5,1,382,857,5,15,15,61000,19000,2,190,1,4,128,4,1,1,1,3,0,1,1,5,0,0,1,12,15
"111",111,6,424,50,0,2001,26,1,23,0,0,13,1,1,492,377,40,5,1,382,857,5,5,2,60000,8140,1,200,0,2,125,3,1,9,1,3,0,1,9,1,2,0,1,14,15
"112",112,6,259,4,0,2001,73,2,0,0,0,14,4,5,0,0,0,0,3,0,0,0,0,30,0,0,2,110,6,0,0,0,0,0,0,0,0,1,1,1,4,0,2,16,0
"113",113,6,7248,4,0,2001,49,2,0,0,0,14,2,1,283,609,0,5,3,0,0,0,0,10,10000,0,4,210,5,0,0,0,0,0,0,0,0,1,1,1,4,8,2,16,0
"114",114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
